ID Respuesta | Nombre Participante | ID Dispositivo | Tipo Participación | Nombre Funcionario | Cargo Funcionario | Sección Funcionario | Pregunta | Categoría Pregunta | Calificación | Fecha Respuesta
-------------+---------------------+----------------+--------------------+--------------------+-------------------+---------------------+----------+--------------------+--------------+----------------
390 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Uso adecuado del tiempo de trabajo | Desempeño | regular | 08/10/2025 19:45:17
389 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Ejercicio adecuado del cargo | Desempeño | malo | 08/10/2025 19:45:17
388 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Proyectos estratégicos con resultados concretos | Desempeño | malo | 08/10/2025 19:45:17
386 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Cumplimiento de metas | Desempeño | malo | 08/10/2025 19:45:17
387 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Eficiencia en la gestión de los recursos | Desempeño | malo | 08/10/2025 19:45:17
385 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Transparencia y eficiencia en la toma de decisiones | Profesional | malo | 08/10/2025 19:45:17
384 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Capacidad para resolver problemas | Profesional | bueno | 08/10/2025 19:45:17
383 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Liderazgo y gestión de equipos | Profesional | deficiente | 08/10/2025 19:45:17
382 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Aptitud y honestidad | Personal | malo | 08/10/2025 19:45:17
380 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Comunicación y empatía | Personal | deficiente | 08/10/2025 19:45:17
381 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Veracidad y cumplimiento | Personal | regular | 08/10/2025 19:45:17
379 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Respeto, dignidad y decoro | Personal | deficiente | 08/10/2025 19:45:17
378 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Helenohora Llanos Diaz | Comisaria | Comisaria de familia | Integridad y ética | Personal | malo | 08/10/2025 19:45:17
376 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Ejercicio adecuado del cargo | Desempeño | deficiente | 08/10/2025 19:45:17
377 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Uso adecuado del tiempo de trabajo | Desempeño | deficiente | 08/10/2025 19:45:17
374 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Proyectos estratégicos con resultados concretos | Desempeño | deficiente | 08/10/2025 19:45:17
375 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Cumplimiento de metas | Desempeño | deficiente | 08/10/2025 19:45:17
373 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Eficiencia en la gestión de los recursos | Desempeño | malo | 08/10/2025 19:45:17
372 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Transparencia y eficiencia en la toma de decisiones | Profesional | regular | 08/10/2025 19:45:17
371 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Liderazgo y gestión de equipos | Profesional | malo | 08/10/2025 19:45:17
369 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Capacidad para resolver problemas | Profesional | deficiente | 08/10/2025 19:45:17
370 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Comunicación y empatía | Personal | malo | 08/10/2025 19:45:17
367 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Veracidad y cumplimiento | Personal | deficiente | 08/10/2025 19:45:17
368 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Aptitud y honestidad | Personal | bueno | 08/10/2025 19:45:17
366 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Respeto, dignidad y decoro | Personal | deficiente | 08/10/2025 19:45:17
365 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Yoan Orlando Garay Diaz | Inspector | Inspección de policía | Integridad y ética | Personal | malo | 08/10/2025 19:45:17
364 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Uso adecuado del tiempo de trabajo | Desempeño | deficiente | 08/10/2025 19:45:17
363 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Ejercicio adecuado del cargo | Desempeño | regular | 08/10/2025 19:45:17
362 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Proyectos estratégicos con resultados concretos | Desempeño | bueno | 08/10/2025 19:45:17
361 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Cumplimiento de metas | Desempeño | deficiente | 08/10/2025 19:45:17
360 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Transparencia y eficiencia en la toma de decisiones | Profesional | deficiente | 08/10/2025 19:45:17
359 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Eficiencia en la gestión de los recursos | Desempeño | malo | 08/10/2025 19:45:17
358 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Capacidad para resolver problemas | Profesional | deficiente | 08/10/2025 19:45:17
357 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Liderazgo y gestión de equipos | Profesional | deficiente | 08/10/2025 19:45:17
356 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Comunicación y empatía | Personal | deficiente | 08/10/2025 19:45:17
355 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Veracidad y cumplimiento | Personal | excelente | 08/10/2025 19:45:17
354 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Respeto, dignidad y decoro | Personal | regular | 08/10/2025 19:45:17
353 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Aptitud y honestidad | Personal | malo | 08/10/2025 19:45:17
352 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Maria Ximena Martin Charry | Secretaria | Secretaria de tránsito | Integridad y ética | Personal | deficiente | 08/10/2025 19:45:17
351 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Javier Charry Bonilla | Secretario | Secretaria de desarrollo económico | Cumplimiento de metas | Desempeño | malo | 08/10/2025 19:45:17
350 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Javier Charry Bonilla | Secretario | Secretaria de desarrollo económico | Uso adecuado del tiempo de trabajo | Desempeño | malo | 08/10/2025 19:45:17
349 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Javier Charry Bonilla | Secretario | Secretaria de desarrollo económico | Eficiencia en la gestión de los recursos | Desempeño | deficiente | 08/10/2025 19:45:17
347 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Javier Charry Bonilla | Secretario | Secretaria de desarrollo económico | Ejercicio adecuado del cargo | Desempeño | regular | 08/10/2025 19:45:17
348 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Javier Charry Bonilla | Secretario | Secretaria de desarrollo económico | Proyectos estratégicos con resultados concretos | Desempeño | excelente | 08/10/2025 19:45:17
346 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Javier Charry Bonilla | Secretario | Secretaria de desarrollo económico | Transparencia y eficiencia en la toma de decisiones | Profesional | regular | 08/10/2025 19:45:17
345 | María xvastro | 7d197fb4-d116-4126-94b9-e815a73fc400 | Con nombre | Javier Charry Bonilla | Secretario | Secretaria de desarrollo económico | Capacidad para resolver problemas | Profesional | excelente | 08/10/2025 19:45:17
